"","rowid","term","group","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high","trust","predicted_lo","predicted_hi","predicted","riskaverse","lossavers","Strategies3"
"1",1,"lossavers","1",-0.0359969895076528,0.0374594929837554,-0.960957734352229,0.336573419668561,1.5710068481854,-0.109416246634944,0.0374222676196386,0,0.0685601869986631,0.0685565872997124,0.0685583871497105,0.507674153491016,0.517797024713622,4
"2",2,"lossavers","1",-0.0403037677193518,0.0432831461009881,-0.931165392305707,0.351768016698491,1.50730377821755,-0.125137175214874,0.0445296397761702,2,0.0819675123477603,0.0819634819709884,0.0819654971639234,0.507674153491016,0.517797024713622,4
"3",3,"lossavers","1",-0.0445898098833108,0.0498314267229049,-0.894813028959801,0.370887044322907,1.4309482218093,-0.142257611558451,0.0530779917918295,4,0.097474553247138,0.0974700942661497,0.0974723237662568,0.507674153491016,0.517797024713622,4
"4",4,"lossavers","1",-0.0486998690812923,0.0570426940447305,-0.853744198040575,0.393246739168441,1.34649329213267,-0.160501494990101,0.0631017568275168,6,0.115253680656305,0.115248810669397,0.115251245678549,0.507674153491016,0.517797024713622,4
"5",5,"lossavers","1",-0.0524573365565106,0.0649979253248342,-0.807061706882941,0.419630932633287,1.25280706637205,-0.17985092926301,0.0749362561499883,8,0.135446982488322,0.135441736754666,0.135444359644199,0.507674153491016,0.517797024713622,4
"6",6,"lossavers","1",-0.0556739868831646,0.0734920827589307,-0.757550810823893,0.448719936901568,1.15611280962497,-0.199715822239506,0.0883678484731766,10,0.158153287296642,0.158147719897954,0.158150503627732,0.507674153491016,0.517797024713622,4
"7",7,"lossavers","1",-0.058163402515965,0.0825141442454699,-0.704890089424374,0.48087863815707,1.05625525540564,-0.219888153452229,0.103561348420299,12,0.183415311904024,0.183409495563773,0.183412403772492,0.507674153491016,0.517797024713622,4
"8",8,"lossavers","1",-0.0597570831750716,0.0914212281827051,-0.653645595918348,0.513340161258117,0.962012960422317,-0.238939397835592,0.119425231485449,14,0.211208237369273,0.211202261660956,0.211205249561924,0.507674153491016,0.517797024713622,4
"9",9,"lossavers","1",-0.06032147494478,0.100626056042567,-0.599461782734114,0.548864987875116,0.865476782228166,-0.25754492069452,0.13690197080496,16,0.241431166592452,0.241425134444957,0.241428150573359,0.507674153491016,0.517797024713622,4
"10",1,"riskaverse","1",0.0174136108082736,0.0389511814032783,0.447062455641153,0.654829966004493,0.610807751668933,-0.0589293018974382,0.0937565235139855,0,0.0685577539272421,0.0685590203717023,0.0685583871497105,0.507674153491016,0.517797024713622,4
"11",2,"riskaverse","1",0.0194655172240393,0.0457465210672813,0.425508142912345,0.670466286831978,0.576763304208961,-0.0701960164858349,0.109127050933914,2,0.0819647893261303,0.0819662050001524,0.0819654971639234,0.507674153491016,0.517797024713622,4
"12",3,"riskaverse","1",0.0214958615041177,0.0535329233457514,0.401544697368442,0.688019136816285,0.539479401753607,-0.0834267402406984,0.126418463248934,4,0.0974715420970825,0.0974731054325112,0.0974723237662568,0.507674153491016,0.517797024713622,4
"13",4,"riskaverse","1",0.0234277549462478,0.0619836737279354,0.377966544046406,0.705455447578498,0.503373121330806,-0.0980580131899871,0.144913523082483,6,0.115250393757894,0.115252097594668,0.115251245678549,0.507674153491016,0.517797024713622,4
"14",5,"riskaverse","1",0.0251742957797939,0.071155576172244,0.35379231163634,0.723494535758729,0.466945974140803,-0.114288070817001,0.164636662376589,8,0.13544344421204,0.135445275069969,0.135444359644199,0.507674153491016,0.517797024713622,4
"15",6,"riskaverse","1",0.026643513612777,0.0803402643247808,0.331633382547372,0.740166109167809,0.434079016064822,-0.130820510972221,0.184107538197775,10,0.158149534768453,0.158151472478592,0.158150503627732,0.507674153491016,0.517797024713622,4
"16",7,"riskaverse","1",0.0277450992759769,0.0908760577128335,0.305307029973185,0.760132322242581,0.395677513138488,-0.15036870089816,0.205858899450114,12,0.183411394854485,0.183413412679948,0.183412403772492,0.507674153491016,0.517797024713622,4
"17",8,"riskaverse","1",0.0283984043144751,0.101188673960216,0.280648052821014,0.778980355750038,0.360341147883275,-0.169927752290915,0.226724560919865,14,0.211204216886302,0.21120628222486,0.211205249561924,0.507674153491016,0.517797024713622,4
"18",9,"riskaverse","1",0.0285408160092616,0.110937641664081,0.25726899888212,0.796971122486042,0.327400644449473,-0.188892966182148,0.245974598200671,16,0.241427112718116,0.241429188413888,0.241428150573359,0.507674153491016,0.517797024713622,4
"19",1,"trust","1",0.00620990892688869,0.000645536561895915,9.61976329992904,6.59828238237307e-22,70.3603275662224,0.00494468051486889,0.00747513733890849,0,0.0685534193753494,0.0685633552296324,0.0685583871497105,0.507674153491016,0.517797024713622,4
"20",2,"trust","1",0.00721317083484004,0.000897929092879585,8.03311853022602,9.50257819641062e-16,49.9025305261706,0.00545326215212533,0.00897307951755474,2,0.0819597267953528,0.0819712678686886,0.0819654971639234,0.507674153491016,0.517797024713622,4
"21",3,"trust","1",0.00830812213060972,0.00128666238060948,6.45711124830918,1.06720448152555e-10,33.1254443188979,0.00578631020435258,0.0108299340568669,4,0.097465677450521,0.09747897044593,0.0974723237662568,0.507674153491016,0.517797024713622,4
"22",4,"trust","1",0.0094827505481114,0.00179520818412651,5.28225674991861,1.27602199289745e-07,22.901843469301,0.00596420716247189,0.0130012939337509,6,0.115243659671535,0.115258832072412,0.115251245678549,0.507674153491016,0.517797024713622,4
"23",5,"trust","1",0.0107187086053305,0.00240099119316563,4.46428484862464,8.03366287261836e-06,16.9255106484196,0.00601285233952802,0.015424564871133,8,0.135435784878732,0.135452934812501,0.135444359644199,0.507674153491016,0.517797024713622,4
"24",6,"trust","1",0.0119910928707626,0.00308321782251056,3.88914879228306,0.000100596431448987,13.2791332515647,0.00594809698214985,0.0180340887593753,10,0.158140910958349,0.158160096706942,0.158150503627732,0.507674153491016,0.517797024713622,4
"25",7,"trust","1",0.0132688126365348,0.00381343207188923,3.47949363890496,0.000502362295207729,10.9589841927047,0.0057946231181419,0.0207430021549276,12,0.18340178892537,0.183423019025588,0.183412403772492,0.507674153491016,0.517797024713622,4
"26",8,"trust","1",0.0145156625134743,0.00456519329402685,3.17963809604004,0.00147459088637632,9.40546953904542,0.00556804807471791,0.0234632769522307,14,0.211193637226858,0.21121686228688,0.211205249561924,0.507674153491016,0.517797024713622,4
"27",9,"trust","1",0.0156921269457884,0.00527742511804827,2.97344379025348,0.0029447833744235,8.40762277493223,0.00534856378330674,0.02603569010827,16,0.241415597052241,0.241440704455355,0.241428150573359,0.507674153491016,0.517797024713622,4
"28",1,"lossavers","2",-0.224570201778351,0.0968372092713145,-2.31904867424628,0.0203923972703326,5.61582480545871,-0.414367644313496,-0.0347727592432067,0,0.341016701263931,0.340994244243753,0.34100547268909,0.507674153491016,0.517797024713622,4
"29",2,"lossavers","2",-0.224788069564941,0.0971954040716981,-2.31274381450301,0.0207367285340307,5.59166788000196,-0.415287561008287,-0.0342885781215947,2,0.359549403541275,0.359526924734319,0.359538164090739,0.507674153491016,0.517797024713622,4
"30",3,"lossavers","2",-0.222825699089935,0.0974094739392563,-2.28751568075285,0.0221657412337298,5.49552458200442,-0.41374475976387,-0.0319066384159994,4,0.377069351038009,0.3770470684681,0.377058209724274,0.507674153491016,0.517797024713622,4
"31",4,"lossavers","2",-0.218625365995817,0.0976470388756881,-2.2389349284226,0.0251601504188084,5.31271564244543,-0.410010045389148,-0.027240686602486,6,0.39318590972654,0.39316404718994,0.393174978447589,0.507674153491016,0.517797024713622,4
"32",5,"lossavers","2",-0.212217540065951,0.0976219271794673,-2.17387165155849,0.0297147755653957,5.07267570540747,-0.403553001439099,-0.0208820786928033,8,0.407498147591169,0.407476925837162,0.407487536720724,0.507674153491016,0.517797024713622,4
"33",6,"lossavers","2",-0.203728663776825,0.0982002608030509,-2.07462446749934,0.0380213526423085,4.71704633175885,-0.396197638223246,-0.0112596893304053,10,0.419611797809274,0.419591424942896,0.419601611398186,0.507674153491016,0.517797024713622,4
"34",7,"lossavers","2",-0.193381237922341,0.0985270892139393,-1.96272151613489,0.049678541624369,4.33123336770935,-0.386490784283227,-0.000271691561455178,12,0.429158993323412,0.429139655199619,0.429149324296838,0.507674153491016,0.517797024713622,4
"35",8,"lossavers","2",-0.181484886342398,0.099702484684911,-1.820264428875,0.0687187456202213,3.86315248775706,-0.37689816549398,0.0139283928091839,14,0.435819485510622,0.435801337021988,0.435810411312034,0.507674153491016,0.517797024713622,4
"36",9,"lossavers","2",-0.16841827720715,0.101312299526511,-1.66236753083547,0.0964391050139547,3.37423792744814,-0.366986735470045,0.030150181055746,16,0.439341558860608,0.439324717032888,0.439333137999783,0.507674153491016,0.517797024713622,4
"37",1,"riskaverse","2",0.11218077022033,0.103313428338255,1.08582951920871,0.277554423812173,1.84915740715259,-0.0903098284420089,0.314671368882669,0,0.341001393396902,0.341009551998616,0.34100547268909,0.507674153491016,0.517797024713622,4
"38",2,"riskaverse","2",0.112340600822164,0.104797763867674,1.07197517080626,0.283731184487978,1.81740337101569,-0.0930592420188098,0.317740443663138,2,0.359534078984231,0.359542249209989,0.359538164090739,0.507674153491016,0.517797024713622,4
"39",3,"riskaverse","2",0.111423250941592,0.106136499984113,1.04981086580272,0.293805078534588,1.76706876123503,-0.0966004664724048,0.319446968355588,4,0.377054157973571,0.377062261482972,0.377058209724274,0.507674153491016,0.517797024713622,4
"40",4,"riskaverse","2",0.109400659091317,0.106879724294586,1.02358665138191,0.306030552796007,1.70825240220829,-0.100079751203641,0.318881069386275,6,0.39317100024333,0.393178956655137,0.393174978447589,0.507674153491016,0.517797024713622,4
"41",5,"riskaverse","2",0.106288344297774,0.107291356189077,0.990651512601485,0.321855774934195,1.6355137400861,-0.103998849685276,0.316575538280824,8,0.407483671689321,0.407491401750954,0.407487536720724,0.507674153491016,0.517797024713622,4
"42",6,"riskaverse","2",0.102149135883473,0.10850769856305,0.941399893613239,0.346499968101195,1.52907287533945,-0.110522045345434,0.314820317112379,10,0.419597896881442,0.419605325909728,0.419601611398186,0.507674153491016,0.517797024713622,4
"43",7,"riskaverse","2",0.0970930823582821,0.10930395886076,0.888285139625795,0.374387391171807,1.41739624703928,-0.117138740376454,0.311324905093019,12,0.429145793634879,0.42915285495017,0.429149324296838,0.507674153491016,0.517797024713622,4
"44",8,"riskaverse","2",0.0912729021929478,0.110622651470778,0.825083298758736,0.409324300856382,1.28868377532287,-0.125543510564105,0.30808931495,14,0.435807092291649,0.435813730321097,0.435810411312034,0.507674153491016,0.517797024713622,4
"45",9,"riskaverse","2",0.0848749411098617,0.112566853943617,0.753995853454109,0.450851711608039,1.14927509623203,-0.135752038472609,0.305501920692332,16,0.43933005163159,0.439336224354764,0.439333137999783,0.507674153491016,0.517797024713622,4
"46",1,"trust","2",0.00945709769967218,0.00349967487888752,2.70227893360151,0.00688659623885216,7.18199319036526,0.00259786097945306,0.0163163344198913,0,0.340997906959495,0.341013038315815,0.34100547268909,0.507674153491016,0.517797024713622,4
"47",2,"trust","2",0.00904494007334528,0.00368275899910474,2.45602280125962,0.0140484243517484,6.1534478605664,0.00182686507135921,0.0162630150753313,2,0.359530928057831,0.359545399961948,0.359538164090739,0.507674153491016,0.517797024713622,4
"48",3,"trust","2",0.0084424405837405,0.00379992046256621,2.22174139351302,0.0263007874209059,5.24875019667424,0.000994733332993945,0.015890147834487,4,0.377051455659617,0.377064963564551,0.377058209724274,0.507674153491016,0.517797024713622,4
"49",4,"trust","2",0.0076407747768778,0.00386067617048988,1.97912863950676,0.0478015247227744,4.38679955326529,7.39885267456207e-05,0.01520756102701,6,0.393168865683388,0.393181090923031,0.393174978447589,0.507674153491016,0.517797024713622,4
